
| job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=pending elapsed=00:00 events=2 results=0/2 leases=running:0 waiting:0 sandboxes=0/2 last=job_validated
/ job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:00 events=7 results=0/2 leases=running:1 waiting:0 sandboxes=0/2 last=executor_lease_acquired(protein_generator)
- job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:00 events=7 results=0/2 leases=running:1 waiting:0 sandboxes=0/2 last=executor_lease_acquired(protein_generator)
\ job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:00 events=7 results=0/2 leases=running:1 waiting:0 sandboxes=0/2 last=executor_lease_acquired(protein_generator)
| job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:00 events=7 results=0/2 leases=running:1 waiting:0 sandboxes=0/2 last=executor_lease_acquired(protein_generator)
/ job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:01 events=7 results=0/2 leases=running:1 waiting:0 sandboxes=0/2 last=executor_lease_acquired(protein_generator)
- job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:01 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
\ job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:01 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
| job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:01 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
/ job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:01 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
- job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:02 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
\ job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:02 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
| job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:02 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
/ job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:02 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
- job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:02 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
\ job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:03 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
| job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:03 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
/ job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:03 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
- job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:03 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
\ job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:03 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
| job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:04 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
/ job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:04 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
- job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:04 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
\ job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:04 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
| job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:04 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
/ job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:05 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
- job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:05 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
\ job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:05 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
| job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:05 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
/ job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:05 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
- job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:06 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
\ job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:06 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
| job=drug_discovery_loop-1776387804582-fa621f3f24b7 status=running elapsed=00:06 events=12 results=0/2 leases=running:1 waiting:0 sandboxes=1/2 last=executor_lease_acquired(drug_docker)
